utc_timestamp,rate
2021-05-01T00:00:00:000Z,6330002.0
2021-05-01T00:05:00:000Z,6334993.0
2021-05-01T00:10:00:000Z,6345206.0
2021-05-01T00:15:00:000Z,6354392.0
2021-05-01T00:20:00:000Z,6369791.0
2021-05-01T00:25:00:000Z,6360649.0
2021-05-01T00:30:00:000Z,6367421.0
2021-05-01T00:35:00:000Z,6351235.0
2021-05-01T00:40:00:000Z,6358560.0
2021-05-01T00:45:00:000Z,6346626.0
2021-05-01T00:50:00:000Z,6351000.0
2021-05-01T00:55:00:000Z,6329552.0
2021-05-01T01:00:00:000Z,6342373.0
2021-05-01T01:05:00:000Z,6306416.0
2021-05-01T01:10:00:000Z,6305813.0
2021-05-01T01:15:00:000Z,6314692.0
2021-05-01T01:20:00:000Z,6322042.0
2021-05-01T01:25:00:000Z,6346673.0
2021-05-01T01:30:00:000Z,6340000.0
2021-05-01T01:35:00:000Z,6338431.0
2021-05-01T01:40:00:000Z,6353973.0
2021-05-01T01:45:00:000Z,6384997.0
2021-05-01T01:50:00:000Z,6400086.0
2021-05-01T01:55:00:000Z,6408607.0
2021-05-01T02:00:00:000Z,6409992.0
2021-05-01T02:05:00:000Z,6405000.0
2021-05-01T02:10:00:000Z,6389000.0
2021-05-01T02:15:00:000Z,6386350.0
2021-05-01T02:20:00:000Z,6393450.0
2021-05-01T02:25:00:000Z,6395997.0
2021-05-01T02:30:00:000Z,6396140.0
2021-05-01T02:35:00:000Z,6392000.0
2021-05-01T02:40:00:000Z,6390595.0
2021-05-01T02:45:00:000Z,6381780.0
2021-05-01T02:50:00:000Z,6377012.0
2021-05-01T02:55:00:000Z,6358390.0
2021-05-01T03:00:00:000Z,6372087.0
2021-05-01T03:05:00:000Z,6373999.0
2021-05-01T03:10:00:000Z,6367021.0
2021-05-01T03:15:00:000Z,6370000.0
2021-05-01T03:20:00:000Z,6384000.0
2021-05-01T03:25:00:000Z,6388999.0
2021-05-01T03:30:00:000Z,6388450.0
2021-05-01T03:35:00:000Z,6386217.0
2021-05-01T03:40:00:000Z,6379921.0
2021-05-01T03:45:00:000Z,6377817.0
2021-05-01T03:50:00:000Z,6382000.0
2021-05-01T03:55:00:000Z,6380253.0
2021-05-01T04:00:00:000Z,6382000.0
2021-05-01T04:05:00:000Z,6370000.0
2021-05-01T04:10:00:000Z,6380000.0
2021-05-01T04:15:00:000Z,6384643.0
2021-05-01T04:20:00:000Z,6378274.0
2021-05-01T04:25:00:000Z,6380000.0
2021-05-01T04:30:00:000Z,6373751.0
2021-05-01T04:35:00:000Z,6352946.0
2021-05-01T04:40:00:000Z,6347911.0
2021-05-01T04:45:00:000Z,6351844.0
2021-05-01T04:50:00:000Z,6353890.0
2021-05-01T04:55:00:000Z,6360000.0
2021-05-01T05:00:00:000Z,6366870.0
2021-05-01T05:05:00:000Z,6350313.0
2021-05-01T05:10:00:000Z,6351003.0
2021-05-01T05:15:00:000Z,6360337.0
2021-05-01T05:20:00:000Z,6367999.0
2021-05-01T05:25:00:000Z,6389106.0
2021-05-01T05:30:00:000Z,6378261.0
2021-05-01T05:35:00:000Z,6381844.0
2021-05-01T05:40:00:000Z,6385079.0
2021-05-01T05:45:00:000Z,6386755.0
2021-05-01T05:50:00:000Z,6380862.0
2021-05-01T05:55:00:000Z,6364267.0
2021-05-01T06:00:00:000Z,6372551.0
2021-05-01T06:05:00:000Z,6352000.0
2021-05-01T06:10:00:000Z,6360557.0
2021-05-01T06:15:00:000Z,6355001.0
2021-05-01T06:20:00:000Z,6362499.0
2021-05-01T06:25:00:000Z,6365832.0
2021-05-01T06:30:00:000Z,6373406.0
2021-05-01T06:35:00:000Z,6367091.0
2021-05-01T06:40:00:000Z,6365443.0
2021-05-01T06:45:00:000Z,6351353.0
2021-05-01T06:50:00:000Z,6348859.0
2021-05-01T06:55:00:000Z,6354168.0
2021-05-01T07:00:00:000Z,6343909.0
2021-05-01T07:05:00:000Z,6348898.0
2021-05-01T07:10:00:000Z,6330010.0
2021-05-01T07:15:00:000Z,6324842.0
2021-05-01T07:20:00:000Z,6342496.0
2021-05-01T07:25:00:000Z,6347754.0
2021-05-01T07:30:00:000Z,6342760.0
2021-05-01T07:35:00:000Z,6343168.0
2021-05-01T07:40:00:000Z,6331373.0
2021-05-01T07:45:00:000Z,6337816.0
2021-05-01T07:50:00:000Z,6338749.0
2021-05-01T07:55:00:000Z,6333167.0
2021-05-01T08:00:00:000Z,6324337.0
2021-05-01T08:05:00:000Z,6324568.0
2021-05-01T08:10:00:000Z,6338959.0
2021-05-01T08:15:00:000Z,6330971.0
